[2026-05-06 13:03:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":25.5,"illuminance":3,"last_seen":"2026-05-06T16:03:22.936Z","linkquality":69,"maximum_range":2.1,"minimum_range":0.45,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-06 13:03:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":24.5,"illuminance":7,"last_seen":"2026-05-06T16:03:23.039Z","linkquality":87,"maximum_range":2.25,"minimum_range":0.3,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-06 13:03:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Termômetro Escritório', payload '{"battery":75,"humidity":72.44,"last_seen":"2026-05-06T16:03:23.311Z","linkquality":43,"temperature":24.97,"voltage":2600}'
[2026-05-06 13:03:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":80,"last_seen":"2026-05-06T16:03:23.808Z","linkquality":65,"maximum_range":4.5,"minimum_range":1.8,"presence":true,"radar_sensitivity":4,"self_test":"check_success","target_distance":2.62}'
[2026-05-06 13:03:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":25.5,"illuminance":3,"last_seen":"2026-05-06T16:03:24.536Z","linkquality":72,"maximum_range":2.1,"minimum_range":0.45,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-06 13:03:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":24.5,"illuminance":7,"last_seen":"2026-05-06T16:03:24.633Z","linkquality":91,"maximum_range":2.25,"minimum_range":0.3,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-06 13:03:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":80,"last_seen":"2026-05-06T16:03:24.823Z","linkquality":65,"maximum_range":4.5,"minimum_range":1.8,"presence":true,"radar_sensitivity":4,"self_test":"check_success","target_distance":2.66}'
[2026-05-06 13:03:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":80,"last_seen":"2026-05-06T16:03:25.807Z","linkquality":65,"maximum_range":4.5,"minimum_range":1.8,"presence":true,"radar_sensitivity":4,"self_test":"check_success","target_distance":2.73}'
[2026-05-06 13:03:26] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":25.5,"illuminance":3,"last_seen":"2026-05-06T16:03:26.134Z","linkquality":69,"maximum_range":2.1,"minimum_range":0.45,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-06 13:03:26] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":24.5,"illuminance":7,"last_seen":"2026-05-06T16:03:26.232Z","linkquality":91,"maximum_range":2.25,"minimum_range":0.3,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-06 13:03:26] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":80,"last_seen":"2026-05-06T16:03:26.812Z","linkquality":65,"maximum_range":4.5,"minimum_range":1.8,"presence":true,"radar_sensitivity":4,"self_test":"check_success","target_distance":2.57}'
[2026-05-06 13:03:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Presença Pergolado Fundos', payload '{"battery":100,"fading_time":60,"illuminance":2693,"indicator":"OFF","last_seen":"2026-05-06T16:03:27.077Z","linkquality":43,"motion_detection_mode":"pir_and_radar","motion_detection_sensitivity":2,"motion_state":"none","presence":false,"static_detection_distance":3.5,"static_detection_sensitivity":6}'
[2026-05-06 13:03:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Presença Pergolado Fundos', payload '{"battery":100,"fading_time":60,"illuminance":2688,"indicator":"OFF","last_seen":"2026-05-06T16:03:27.643Z","linkquality":43,"motion_detection_mode":"pir_and_radar","motion_detection_sensitivity":2,"motion_state":"none","presence":false,"static_detection_distance":3.5,"static_detection_sensitivity":6}'
[2026-05-06 13:03:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave lavabo', payload '{"detection_delay":0,"fading_time":25.5,"illuminance":3,"last_seen":"2026-05-06T16:03:27.738Z","linkquality":58,"maximum_range":2.1,"minimum_range":0.45,"presence":false,"radar_sensitivity":6,"target_distance":0}'
[2026-05-06 13:03:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmWave Serviço', payload '{"cli":" ","detection_delay":0,"fading_time":30,"illuminance":80,"last_seen":"2026-05-06T16:03:27.810Z","linkquality":65,"maximum_range":4.5,"minimum_range":1.8,"presence":true,"radar_sensitivity":4,"self_test":"check_success","target_distance":3.17}'
[2026-05-06 13:03:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/mmwave Banheiro Externo', payload '{"detection_delay":0,"fading_time":24.5,"illuminance":7,"last_seen":"2026-05-06T16:03:27.821Z","linkquality":91,"maximum_range":2.25,"minimum_range":0.3,"presence":false,"radar_sensitivity":6,"target_distance":0}'
